"","","","","","","","","","","","","","","","","",""
"","","","Koodoo Distribution | Koodoo Technologies","","","",""
"","","","123290, Москва, Причальный пр-д, д.6 к.1","","","",""
"","","","T: +7(499)256-1731 | Ф: +7(495)742-6409","","","",""
"","Цену и доступное количество товаров с пометкой &quot;Распродажа&quot; уточняйте у менеджера","","Прайс обновлен 15.04.15 в 07:45",""
"","Код","Категория","Тип","Brand","Акция","Модель","Описание","Цена","Шт. в коробке","Наличие на складе","Заказ (шт.)","Сумма","Комментарий к заказу","MSRP","Гар.(мес)","EAN/UPC","String Table Error"
"","128502","","","IRIS","","IRIScan Mouse","cканер - оптическая мышь, 300dpi, до A3",69.00,20,"*","","","","",12,"7650104578856",""
"","502050","LED-светотехника","Светодиодная гирлянда","MIXBERRY","","MLD O20R","ультратонкая, LED, для уличного использования, красная (рубин), 200LED, IP67, блок питания IP44",45.00,32,"*******","","","",50.00,12,"4627073590397",""
"","502051","LED-светотехника","Светодиодная гирлянда","MIXBERRY","","MLD O20Y","ультратонкая, LED, для уличного использования, желтая (лунный свет), 200LED, IP67, блок питания IP44",45.00,32,"***","","","",50.00,12,"4627073590489",""
"","502052","LED-светотехника","Светодиодная гирлянда","MIXBERRY","","MLD O20B","ультратонкая, LED, для уличного использования, синяя (сапфир), 200LED, IP67, блок питания IP44",45.00,32,"*******","","","",50.00,12,"4627073590427",""
"","502053","LED-светотехника","Светодиодная гирлянда","MIXBERRY","","MLD O20G","ультратонкая, LED, для уличного использования, зеленая (изумруд), 200LED, IP67, блок питания IP44",45.00,32,"*******","","","",50.00,12,"4627073590458",""
"","502054","LED-светотехника","Светодиодная гирлянда","MIXBERRY","","MLD O20W","ультратонкая, LED, для уличного использования, белая (бриллиант), 200LED, IP67, блок питания IP44",45.00,32,"*******","","","",50.00,12,"4627073590519",""
"","502055","LED-светотехника","Светодиодная гирлянда","MIXBERRY","","MLD I10R","ультратонкая, LED, для использования внутри помещения, красная (рубин) + пульт ДУ, 100LED, IP67, блок питания IP20",45.00,32,"*******","","","",50.00,12,"4627073590243",""
"","502056","LED-светотехника","Светодиодная гирлянда","MIXBERRY","","MLD I10Y","ультратонкая, LED, для использования внутри помещения, желтая (лунный свет) + пульт ДУ, 100LED, IP67, блок питания IP20",45.00,32,"*******","","","",50.00,12,"4627073590335",""
"","502057","LED-светотехника","Светодиодная гирлянда","MIXBERRY","","MLD I10B","ультратонкая, LED, для использования внутри помещения, синяя (сапфир) + пульт ДУ, 100LED, IP67, блок питания IP20",45.00,32,"*******","","","",50.00,12,"4627073590274",""
"","502058","LED-светотехника","Светодиодная гирлянда","MIXBERRY","","MLD I10G","ультратонкая, LED, для использования внутри помещения, зеленая (изумруд) + пульт ДУ, 100LED, IP67, блок питания IP20",45.00,32,"*******","","","",50.00,12,"4627073590304",""
"","502059","LED-светотехника","Светодиодная гирлянда","MIXBERRY","","MLD I10W","ультратонкая, LED, для использования внутри помещения, белый (бриллиант) + пульт ДУ, 100LED, IP67, блок питания IP20",45.00,32,"***","","","",50.00,12,"4627073590366",""
"","502061","LED-светотехника","Светодиодная гирлянда","MIXBERRY","","MLD I20R","ультратонкая, LED, для использования внутри помещения, красная (рубин) + пульт ДУ, 200LED, IP67, блок питания IP20",60.00,32,"*******","","","",70.00,12,"4627073591271",""
"","502062","LED-светотехника","Светодиодная гирлянда","MIXBERRY","","MLD I20Y","ультратонкая, LED, для использования внутри помещения, желтая (лунный свет) + пульт ДУ, 200LED, IP67, блок питания IP20",60.00,32,"***","","","",70.00,12,"4627073591363",""
"","502063","LED-светотехника","Светодиодная гирлянда","MIXBERRY","","MLD I20B","ультратонкая, LED, для использования внутри помещения, синяя (сапфир) + пульт ДУ, 200LED, IP67, блок питания IP20",60.00,32,"*******","","","",70.00,12,"4627073591301",""
"","502064","LED-светотехника","Светодиодная гирлянда","MIXBERRY","","MLD I20G","ультратонкая, LED, для использования внутри помещения, зеленая (изумруд) + пульт ДУ, 200LED, IP67, блок питания IP20",60.00,32,"*******","","","",70.00,12,"4627073591332",""
"","502065","LED-светотехника","Светодиодная гирлянда","MIXBERRY","","MLD I20W","ультратонкая, LED, для использования внутри помещения, белый (бриллиант) + пульт ДУ, 200LED, IP67, блок питания IP20",60.00,32,"*******","","","",70.00,12,"4627073591394",""
"","502060","LED-светотехника","Светодиодная гирлянда","MIXBERRY","","MLD SL08","LED, &quot;сосульки&quot;",50.00,50,"*******","","","",70.00,1,"4627073591172",""
"","502023","LED-светотехника","USB LED-светильники","MIXBERRY","","MLD 873B","Настольная портативная LED лампа (трансформер) , с питанием через USB и сеть 220V, черный",16.00,40,"*******","","","",20.00,12,"4627073590212",""
"","502000","LED-светотехника","USB LED-светильники","MIXBERRY","","MLD 873W","настольная, портативная, LED, трансформер, питание через USB и сеть 220V, белая",16.00,40,"*******","","","",20.00,12,"4627073590014",""
"","502022","LED-светотехника","USB LED-светильники","MIXBERRY","","MLD 803W","Мини LED лампа для подсветки клавиатуры и рабочего места у компьютера  , с питанием через  USB, белый",3.30,100,"*******","","","",4.50,12,"4627073590144",""
"","502013","LED-светотехника","USB LED-светильники","MIXBERRY","","MLD 803B","Мини LED лампа для подсветки клавиатуры и рабочего места у компьютера  , с питанием через  USB, черный",3.30,100,"***","","","",4.50,12,"4627073590168",""
"","502001","LED-светотехника","Настольные LED-светильники","MIXBERRY","","MLD 858B","Настольная LED лампа с питанием через USB и сеть 220V, черный",14.00,12,"*******","","","",15.00,12,"4627073590038",""
"","502021","LED-светотехника","Настольные LED-светильники","MIXBERRY","","MLD 858S","Настольная LED лампа с питанием через USB и сеть 220V, серебристо-серый",14.00,12,"*******","","","",15.00,12,"4627073590045",""
"","502003","LED-светотехника","Настольные LED-светильники","MIXBERRY","","MLD 855B","Настольная LED лампа с сенсорным управлением , с питанием через USB и сеть 220V, черный",14.00,10,"*******","","","",18.00,12,"4627073590052",""
"","502033","LED-светотехника","Настольные LED-светильники","MIXBERRY","","MLD 002R","Настольная LED лампа, дизайн &quot;Для офиса и дома&quot;, цвет бордо",14.00,12,"*******","","","",16.00,12,"4627073590601",""
"","502079","LED-светотехника","Настольные LED-светильники","MIXBERRY","","MLD 922W","Настольная LED лампа, дизайн &quot;Офис&quot;, цвет белый. (Мощность 5Вт, Световой поток 550Лм, Температура цвета 3000K (желтый))",20.00,20,"*******","","","",22.00,12,"4627073591257",""
"","502031","LED-светотехника","Настольные LED-светильники","MIXBERRY","","MLD 109B","Настольная LED лампа, дизайн &quot;Ретро-классик&quot;, цвет черный",18.00,20,"Позвоните","","","",22.00,12,"4627073590540",""
"","502032","LED-светотехника","Настольные LED-светильники","MIXBERRY","","MLD 128B","Настольная LED лампа. дизайн &quot;Деловой стиль для кабинета и офиса&quot;, цвет черный",18.00,12,"*******","","","",20.00,12,"4627073590564",""
"","140256","Носители информации","USB Flash накопители","AUTODRIVE","","Hub 73107 Porsche Cayenne","USB Hub 73107 Porsche Cayenne Цвет: Черный",9.50,100,"*","","","",20.00,12,"4891761002640",""
"","140255","Носители информации","USB Flash накопители","AUTODRIVE","","Hub 73128 Mini Cooper S","USB Hub 73128 Mini Cooper S Цвет: Красный",9.50,100,"*******","","","",20.00,12,"4891761002633",""
"","140151","Носители информации","USB Flash накопители","AUTODRIVE","","USB CABLE","USB Cable AM-AF 60cm для флешки ,",1.10,100,"*******","","","",3.00,12,"4891761920005",""
"","035533","Мультимедиа","Компьютерные колонки","STELLE","","Dwell Studio for Stelle Audio Pillar","цвет угольно-золотой, принт &quot;мозаика&quot;",323.00,4,"*","","","",349.00,24,"0094922462213",""
"","035534","Мультимедиа","Компьютерные колонки","STELLE","","Dwell Studio for Stelle Audio Pillar","цвет серебряный металлик, принт &quot;сечение&quot;",323.00,4,"*","","","",349.00,24,"0094922462220",""
"","035535","Мультимедиа","Компьютерные колонки","STELLE","","Stelle Audio Pillar","цвет матовый алюминиевый пепел",302.00,4,"*","","","",299.00,24,"0094922432414",""
"","035536","Мультимедиа","Компьютерные колонки","STELLE","","Stelle Audio Pillar","цвет глянцевая белая бумага",302.00,4,"*","","","",299.00,24,"0094922432421",""
"","202316","Мультимедиа","Микрофоны, наушники, гарнитуры","A4TECH","","HS-5P","стерео, накладные, рег громкости на кабеле, микр подвиж, 20-20000Гц 32 Ом 97дБ, микр 97дБ, кабель 1.5, 3.5 jack 3 pin",6.75,20,"*","","","",12.50,12,"4711421695718",""
"","202317","Мультимедиа","Микрофоны, наушники, гарнитуры","A4TECH","","HS-6","стерео, наклад, рег громкости на проводе, 20-20000Гц 32 Ом 97дБ, микр подвижной 97дБ, кабель 2, 3.5 jack 3 pin",6.90,20,"*******","","","",11.80,12,"4711421698511",""
"","202365","Мультимедиа","Микрофоны, наушники, гарнитуры","A4TECH","","HS-7P","стерео, монитор типа, закрытые,  рег громкости с выкл, 20-20000Гц 32 Ом 97дБ, кабель 2, 3.5 jack 3 pin",9.01,20,"*******","","","",14.20,12,"4711421695787",""
"","202367","Мультимедиа","Микрофоны, наушники, гарнитуры","A4TECH","","HS-50","стерео, монитор типа, закрытые, рег громкости, 20-20000Гц 32 Ом 97дБ, микр подвижн,  кабель 2, 3.5 jack 3 pin",11.05,20,"*******","","","",17.50,12,"4711421698658",""
"","202500","Мультимедиа","Микрофоны, наушники, гарнитуры","A4TECH","","HS-200 (Black)","стерео, монитор типа, рег громкости на проводе, 20-20000Гц 32 Ом 111дБ, микр подвижной 58дБ, кабель 2, 3.5 jack 3 pin",12.42,20,"*******","","","",23.10,12,"4711421729802",""
"","202319","Мультимедиа","Микрофоны, наушники, гарнитуры","A4TECH","","HS-780","стерео, монитор, рег громк и микр на проводе, диаметр мембраны 40мм, 20-20000Гц 32 Ом 105дБ, кабель 1.2, 3.5 jack 3 pin",13.15,10,"*******","","","",25.70,12,"4711421770750",""
"","202342","Мультимедиа","Микрофоны, наушники, гарнитуры","A4TECH","","HU-510","стерео, монитор типа, рег громкости, микр на проводе, диам мембраны 40мм, 20-20000Гц 32 Ом 115дБ,кабель 2, 3.5 jack 3 pin",28.85,10,"*******","","","",53.60,12,"4711421771948",""
"","202336","Мультимедиа","Микрофоны, наушники, гарнитуры","A4TECH","","NC-100-1 (GRAY)","стерео, монитор типа, складыв, диаметр мембраны 40 мм, рег громкости,20-20000Гц 32Ом 100дБ,  кабель 2, 3.5 jack 3 pin",19.30,20,"*******","","","",32.90,12,"4711421847759",""
"","202337","Мультимедиа","Микрофоны, наушники, гарнитуры","A4TECH","","NC-100-2 (SILVER)","стерео, монитор типа, складыв, диаметр мембраны 40 мм, рег громкости,20-20000Гц 32Ом 100дБ,  кабель 2, 3.5 jack 3 pin",19.30,20,"*******","","","",32.90,12,"4711421847827",""
"","202312","Мультимедиа","Микрофоны, наушники, гарнитуры","A4TECH","","T-120-1 (BLACK)","стерео, затылочного типа, складывающиеся, рег громк, микр фикс, диаметр мембр 30 мм, 20-20000Гц 32 Ом 102дБ, каб 1.2, 3.5 jack 3 pin",10.50,36,"*","","","",15.10,12,"4711421857345",""
"","202313","Мультимедиа","Микрофоны, наушники, гарнитуры","A4TECH","","T-120i-1 (BLACK)","для iphone и компьютера, 3.5 jack 4pin, затылочная дужка, складные, 102дБ, динамик 30мм, микрофон фиксирован 58дБ, кабель 1.2м",9.50,36,"*******","","","",17.30,12,"4711421880374",""
"","202472","Мультимедиа","Микрофоны, наушники, гарнитуры","A4TECH","","T-500-2 (Grey)","стерео, накладные, рег громкости на кабеле, 20-20000Гц 32 Ом 102дБ, диаметр мембраны 40 мм, кабель 2, 3.5 jack 3 pin",10.00,20,"*******","","","",16.80,12,"4711421845861",""
"","202499","Мультимедиа","Микрофоны, наушники, гарнитуры","A4TECH","","T-500-3 (White)","стерео, накладные, рег громкости на кабеле, 20-20000Гц 32 Ом 102дБ, диаметр мембраны 40 мм, кабель 2, 3.5 jack 3 pin",11.62,20,"*******","","","",16.80,12,"4711421845939",""
"","202289","Мультимедиа","Микрофоны, наушники, гарнитуры","A4TECH","","RH-200-2 (Orange)","радио А4, оранж, стерео, накладные, рег громкости, 20-20КГц 32 Ом 90дБ, мембраны 40 мм, радио 10 метров, 8 ч работы, USB приемник",29.90,40,"*******","","","",45.20,12,"4711421893886",""
"","202286","Мультимедиа","Микрофоны, наушники, гарнитуры","A4TECH","","RH-200-4 (Claret Red)","радио А4, красная, стерео, накладные, рег громкости, 20-20КГц 32 Ом 90дБ, мембраны 40 мм, радио 10 метров, 8 ч работы, USB приемник",29.50,40,"*******","","","",45.20,12,"4711421894029",""
"","202281","Мультимедиа","Микрофоны, наушники, гарнитуры","A4TECH","","G501","Bloody, 7.1 SS , мониторного типа, рег. громкости, убираемый микрофон, 40мм, 20-20000Гц 32 Ом 115дБ,кабель 2м, USB",45.00,20,"Позвоните","","","",72.10,12,"4711421909778",""
"","222291","Мультимедиа","Микрофоны, наушники, гарнитуры","A4TECH","","G500","Bloody, 2.0, мониторного типа, рег громкости, убираемый микрофон, 40мм, 20-20000Гц 32 Ом 115дБ,кабель 2.2м, 3.5 pin4",45.00,20,"*","","","",55.00,12,"4711421912570",""
"","137867","Мультимедиа","Микрофоны, наушники, гарнитуры","LUXA2","","LHA0010-B","F2 In-ear Earphone with magnetism White",5.00,40,"*******","","","",8.57,12,"4716872050772",""
"","137898","Мультимедиа","Микрофоны, наушники, гарнитуры","LUXA2","","LHA0010-A","F2 In-ear Earphone with magnetism Black",5.00,40,"*******","","","",8.57,12,"4716872050413",""
"","162005","Мультимедиа","3D-очки","CARL ZEISS","","Adapter Kit","Адаптер для синхронизации Cinemizer OLED с устройствами Ipod/Iphone",75.00,5,"***","","","",78.00,24,"",""
"","161012","Мультимедиа","Док-станции","","","M650EUK","Акустическая система для iPhone/iPod Octiv 650 цвет черный",145.00,2,"*","","","",185.00,12,"021986802914",""
"","161016","Мультимедиа","Док-станции","ALTEC","","IMT630EUK","Портативная акустическая система для iPhone/IPod Черная",120.00,2,"*","","","",165.00,12,"021986804109",""
"","161017","Мультимедиа","Док-станции","","","IMT630REDEUK","NEW! Портативная акустическая система для iPhone/IPod Красная",120.00,2,"*","","","",185.00,12,"021986804390",""
"","260502","Мультимедиа","Микрофоны, наушники, гарнитуры","","","MZX116WEAM","Наушники-вкладыши, серия MUZX XX, цвет белый",15.00,16,"*","","","",18.00,12,"021986802648",""
